Iteration,Average Distance
0,9.825931149086859
1,9.69585231883443
2,9.5660334927762
3,9.436484297450196
4,9.307215031229646
5,9.178236773770804
6,9.049561529212138
7,8.92120241978003
8,8.79317395933527
9,8.665492464248368
10,8.538176727278664
11,8.411249278726519
12,8.284739303168612
13,8.158692606946031
14,8.03327825553174
15,7.904891514541102
16,7.779763301328243
17,7.651551885127189
18,7.526692885360096
19,7.398716763723459
20,7.274114711874162
21,7.146443266585384
22,7.022077858001759
23,6.894826284003292
24,6.770673310635076
25,6.653361980453031
26,6.529570919529158
27,6.414670760103516
28,6.303650525462228
29,6.193585539698828
30,6.083767866587893
31,5.974066141782667
32,5.864444409461953
33,5.75489675553904
34,5.6454249013650495
35,5.536032775012831
36,5.426725198556484
37,5.317507613866754
38,5.208386080773939
39,5.09936736067685
40,4.99737909563728
41,4.899298134812664
42,4.8031379726563275
43,4.7079791193726725
44,4.613416265896954
45,4.5192841172273805
46,4.425522801236502
47,4.332115929297514
48,4.239064985428007
49,4.146380151050791
50,4.054078076084221
51,3.9621842200837034
52,3.8707545446256506
53,3.77641433803553
54,3.681832516565054
55,3.5877111657365917
56,3.490137916011866
57,3.39749422085557
58,3.310412399175141
59,3.223767503806605
60,3.1413836886342166
61,3.063849745626316
62,2.989128948045175
63,2.916528913135441
64,2.8447981017657833
65,2.7817823998656186
66,2.7227844041313003
67,2.66560488771875
68,2.6088988278033782
69,2.551640764745069
70,2.4929402882738487
71,2.431951674535619
72,2.367864290051123
73,2.2999925597910575
74,2.227957403862121
75,2.1527538625004485
76,2.095132413201628
77,2.052872317243685
78,2.0231712553891623
79,2.000456309583451
80,1.9806772756151356
81,1.9612540744278577
82,1.9458990011198631
83,1.9299336324938638
84,1.911053464627233
85,1.8893030557634953
86,1.8748427099385936
87,1.863983140932439
88,1.8617739729653262
