Iteration,Average Distance
0,9.375308747751724
1,9.287408508494009
2,9.162836787300261
3,9.031997440628018
4,8.901671082274575
5,8.771827124216765
6,8.642358942738722
7,8.513197390481643
8,8.384310825098053
9,8.255691335822748
10,8.127344544888242
11,7.999283749872989
12,7.871526865245872
13,7.748133389653767
14,7.631093915472361
15,7.515586793494914
16,7.401479673433097
17,7.288571294578665
18,7.176487923950183
19,7.065037767657743
20,6.954122927129747
21,6.84542163077199
22,6.742900899848038
23,6.645440772388529
24,6.55162571368778
25,6.460183097845922
26,6.371769199122914
27,6.285293677943207
28,6.20012695861273
29,6.115813631434917
30,6.0315520824689735
31,5.948292577991152
32,5.865726176525339
33,5.78405475655245
34,5.708745476334659
35,5.637032467655787
36,5.569680495866424
37,5.504442665989039
38,5.4397695981693195
39,5.381399644185373
40,5.324965466878236
41,5.268356240148969
42,5.219554839373077
43,5.17656130926226
44,5.137245967435432
45,5.100779531185256
46,5.06767187782506
47,5.041910208671526
48,5.021992509330253
49,5.005689964398074
50,4.991844741588742
51,4.9797046186997065
52,4.968793203454256
53,4.959008531571002
54,4.950265728819046
55,4.942455313730811
56,4.9353451432490845
57,4.930516479358906
58,4.927680639083702
59,4.925463928439654
60,4.923551577863329
61,4.9219096952549135
62,4.920562854202848
63,4.919479174836721
64,4.9186026968045455
65,4.917884153589529
66,4.9172837347083584
67,4.91676875484327
68,4.9163125519613535
69,4.915893292735566
70,4.915492917777532
71,4.915096269582798
72,4.9146903818086125
73,4.914263904479255
74,4.9138066383093495
75,4.913309154129212
76,4.912762477139244
77,4.9121578192043085
78,4.911486345343806
79,4.910738962936574
80,4.909906124008152
81,4.908977632402315
82,4.907942448767643
83,4.906788487223523
84,4.905502398421643
85,4.904069334610165
86,4.902472693372762
87,4.901653324413272
88,4.901181389433187
89,4.900374560281181
90,4.8991622917059345
91,4.897549242702451
92,4.895545438382565
93,4.893153972835923
94,4.890367913397279
95,4.887170607666654
96,4.883536684118346
97,4.879433006356202
98,4.875415261008143
99,4.872693342902889
100,4.870349978384928
101,4.867813978575684
102,4.8649159035021565
103,4.861622624409883
104,4.857931835189581
105,4.8538465662800885
106,4.849759627764015
107,4.846332578261366
108,4.843475893373427
109,4.839903905414959
110,4.83580717571348
111,4.831243105617879
112,4.826938941773548
113,4.823677571938837
114,4.820857201570899
115,4.817779315672877
116,4.8143424986008405
117,4.81049830979704
118,4.806832174122828
119,4.805607529716958
120,4.805313644357292
121,4.805534538757105
122,4.805917193425345
123,4.806359323353904
124,4.806789483464114
125,4.807180301730532
126,4.807523375620883
127,4.807818947094882
128,4.808071055302992
129,4.80828502990745
130,4.808466281642617
131,4.808619785088298
132,4.808749895430245
133,4.808860327586128
134,4.808954206680669
135,4.80903414388799
136,4.809102315564709
137,4.809160535992055
138,4.8092103203012
139,4.809252937164967
140,4.809289452145748
141,4.809320763039193
142,4.809347628594281
143,4.809370691856931
144,4.809390499193123
145,4.809407515854538
146,4.809422138777559
147,4.809434707162662
